N,h,P1,P2,P3
16,0.09428090415820647,0.0005661460292654,5.237206550962557e-05,1.0730263658181936e-05
32,0.045619792334616084,0.0001534306403503,6.5982713029197815e-06,8.205519595013395e-07
64,0.02244783432338254,3.942526287946682e-05,7.870242886860802e-07,5.1304668408479166e-08
128,0.01113553986120561,9.906928936723092e-06,9.548197239561501e-08,4.145065208410253e-09
256,0.005545935538718157,2.495521433443011e-06,1.1882868051440895e-08,4.5691245231156856e-10
