N,h,P1,P2,P3
16,9.43e-2,0.0375979732666265,0.0019120569597222,0.0001945403599851
32,4.56e-2,0.0097779655210903,0.0002095252125131,1.0150882239142775e-05
64,2.24e-2,0.0024413527900232,2.450143626132191e-05,5.814458435761999e-07
128,1.11e-2,0.000606558966698,2.971034652543141e-06,3.547512337887366e-08
256,5.55e-3,0.0001522119231559,3.657103891811399e-07,2.353049554821814e-09
