e,NADDNP,NADD,DoFsFEMNet,DoFsADDNP,DoFsADD,TimesFEMNetNP,TimesFEMNet,TimesADDNP,TimesADD
0.001,43,33,33204,23524,13764,0.9640220015465039,0.5574262383737068,0.9091865968169037,0.30881832062658743
0.0001,92,74,150339,108931,70303,4.665386338722859,2.8156788314686234,3.6467885589202833,1.7775055452115087
1e-05,197,162,690924,502156,339231,23.295074932609918,13.840937790456705,17.228175656775278,6.4154683957238
