nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.189,0.0015281531425589004,0.0023737616771372957,0.00018538698869692834,0.00033503704558311546,0.08264470100402832,3
32,0.091,0.00017229395921798338,0.0002717043165365605,4.2816917618108713e-05,3.744749289295623e-05,0.29775476455688477,3
64,0.045,2.0744932246415728e-05,3.2560950347468926e-05,1.0351147218028776e-05,4.460307103347278e-06,1.1375768184661865,3
128,0.022,2.5353115798281965e-06,3.977752723115125e-06,2.4929949572085055e-06,5.44711629019631e-07,4.221705198287964,3
