nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.18856180831641295,0.0015281531425597448,0.0023737616771382923,0.00018538698869693523,0.000335037045590002,0.2594013214111328,4
32,0.09123958466923217,0.00017229395921844988,0.00027170431653703893,4.281691761810575e-05,3.744749289652284e-05,0.48619961738586426,4
64,0.04489566864676508,2.0744932246606585e-05,3.256095034763597e-05,1.0351147218029476e-05,4.460307105121397e-06,1.5284478664398193,4
128,0.02227107972241122,2.5353115799250763e-06,3.977752723201927e-06,2.492994957205284e-06,5.447116295224359e-07,5.077460527420044,4
