nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.18856180831641295,0.00041386975008141975,0.0003919148744905096,3.132653750372983e-05,5.8737441519496084e-05,0.2433638572692871,3
32,0.09123958466923217,5.467848997262105e-05,5.7298176841435375e-05,8.84997903000192e-06,7.58603837864383e-06,0.27811717987060547,3
64,0.04489566864676508,7.172248152524508e-06,7.617616227962625e-06,2.3506345513429917e-06,9.399397169620992e-07,1.175410509109497,3
128,0.02227107972241122,8.832019151897071e-07,9.379601768246863e-07,5.753714223774971e-07,1.1631990246439894e-07,4.775762557983398,3
