method,N,min_FEM_PINN,max_FEM_PINN,mean_FEM_PINN,min_FEM_data,max_FEM_data,mean_FEM_data
Add,20,26.487029171927517,271.92314320917217,140.73979936660646,6.910506063500224,60.85457237125931,26.12174192687457
,40,23.399888770621484,258.37487194637504,134.10967592699137,7.133712339134081,39.33655493742624,20.548052256216593
