np,tfem,tadd
0,98.26,707.8722
1,226.1171859646457,707.9251987175298
2,353.9743719292914,707.9781974350597
3,481.8315578939371,708.0311961525895
4,609.6887438585828,708.0841948701193
5,737.5459298232284,708.1371935876491
6,865.4031157878742,708.1901923051789
7,993.2603017525198,708.2431910227087
8,1121.1174877171657,708.2961897402386
9,1248.9746736818113,708.3491884577684
10,1376.831859646457,708.4021871752983
11,1504.6890456111025,708.4551858928281
12,1632.5462315757484,708.508184610358
13,1760.403417540394,708.5611833278878
14,1888.2606035050396,708.6141820454176
15,2016.1177894696855,708.6671807629474
16,2143.974975434331,708.7201794804772
17,2271.832161398977,708.773178198007
18,2399.689347363623,708.8261769155368
19,2527.546533328268,708.8791756330667
20,2655.403719292914,708.9321743505965
21,2783.26090525756,708.9851730681263
22,2911.1180912222053,709.0381717856561
23,3038.975277186851,709.0911705031859
24,3166.832463151497,709.1441692207158
25,3294.6896491161424,709.1971679382456
26,3422.5468350807882,709.2501666557754
27,3550.404021045434,709.3031653733052
28,3678.2612070100795,709.3561640908351
29,3806.1183929747253,709.409162808365
30,3933.975578939371,709.4621615258948
31,4061.8327649040166,709.5151602434246
32,4189.689950868662,709.5681589609544
33,4317.547136833308,709.6211576784842
34,4445.404322797954,709.674156396014
35,4573.261508762599,709.7271551135439
36,4701.118694727245,709.7801538310737
37,4828.975880691891,709.8331525486035
38,4956.833066656536,709.8861512661333
39,5084.6902526211825,709.9391499836631
40,5212.547438585828,709.992148701193
41,5340.404624550473,710.0451474187228
42,5468.26181051512,710.0981461362526
43,5596.118996479765,710.1511448537824
44,5723.97618244441,710.2041435713122
45,5851.833368409057,710.257142288842
46,5979.690554373702,710.3101410063719
47,6107.5477403383475,710.3631397239018
48,6235.404926302994,710.4161384414316
49,6363.262112267639,710.4691371589614
50,6491.119298232285,710.5221358764912
