nb_vert,h,err,time
20,2.86e-1,0.06102708348982153,0.1086581805720925
40,1.40e-1,0.014820841200568041,0.9565066117793322
60,9.22e-2,0.006471219595868836,4.0055506294593215
80,6.89e-2,0.003613508546158114,10.26950189936906
100,5.50e-2,0.0023167740886625636,20.574593887664378
