nb_vert,h,error,times,n_iter
16,0.29619219587722484,0.0005642962122933391,0.9555275440216064,8
32,0.1433188044567218,6.114389787353935e-05,0.06429433822631836,8
64,0.07052195139933942,7.191575711442376e-06,0.46792173385620117,8
128,0.034983330221719504,8.750063403560987e-07,2.3233656883239746,8
256,0.017423070345719664,1.0804446438942341e-07,14.46416687965393,8
