q,h,min_PINNs,max_PINNs,mean_PINNs,std_PINNs,min_FEM,max_FEM,mean_FEM,std_FEM
1,1.33e-1,51.436997614061966,154.47798526192784,124.75989721591242,31.454820041941197,15.123892515424137,137.7199199955168,55.50416526128405,38.23568117166579
2,1.33e-1,551.6424552181174,5688.055655671675,3401.687043143025,1674.341514346379,30.995205376441643,77.45893363450563,58.407739308878625,15.464250885383175
3,1.33e-1,2005.6475989016708,51856.99573526143,19839.46517650876,14735.782149233251,18.715455026489213,21.48990864894039,20.60242568941651,0.8226853470899262

