nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.189,0.001142429515019147,0.0012954077793998345,0.00018209018454644362,0.0001280439547232992,0.09155654907226562,3
32,0.091,0.00013120789536555114,0.0001487988316066331,4.26594107613175e-05,1.427407636781727e-05,0.3109161853790283,3
64,0.045,1.5692502542090114e-05,1.7791307372002267e-05,1.0301887459924638e-05,1.695066656817274e-06,0.7202506065368652,2
128,0.022,1.915948261537513e-06,2.172305388349439e-06,2.4853315425402986e-06,2.0682837603336054e-07,3.1717116832733154,2
