nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.188,0.001142429514983879,0.0012954077795045702,0.0001820901845480287,0.00012804395572648587,0.22556686401367188,6
32,0.091,0.0001312078954408609,0.00014879883193193283,4.2659410763539955e-05,1.4274080954647031e-05,0.5143516063690186,6
64,0.045,1.569249300385308e-05,1.7791308208738556e-05,1.0301887440826368e-05,1.694902608684729e-06,1.8515186309814453,6
128,0.022,1.9159439838403254e-06,2.172306501497384e-06,2.4853315349357838e-06,2.0677003746322532e-07,7.314211130142212,6
