nb_vert,h,err
16,6.67e-2,0.05185488488821296
32,3.23e-2,0.012374972218500402
64,1.59e-2,0.003012200808252718
128,7.87e-3,0.0007433151916805349
256,3.92e-3,0.00018718424345628138
