nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.189,0.00956408035226083,0.022437505401943898,0.00019958186984072814,0.0048666749814115255,0.11497735977172852,5
32,0.091,0.0012034834931271734,0.0025025342573167923,4.484619047057651e-05,0.00041570371265053414,0.38121819496154785,5
64,0.045,0.00014082926678089789,0.00029906600877604083,1.054160547599746e-05,4.605393233523115e-05,1.546638011932373,5
128,0.022,1.7447181275226435e-05,3.664910093270746e-05,2.536878320422197e-06,5.565614601141099e-06,6.691685438156128,5
