nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.18856180831641295,0.00028128901295343276,0.0002675671289576784,3.661649009782343e-05,2.7671397592188536e-05,0.17709898948669434,3
32,0.09123958466923217,3.6749962325658284e-05,3.5088304827023324e-05,1.0246948947465904e-05,3.242787533043359e-06,0.24039268493652344,3
64,0.04489566864676508,4.564284277220865e-06,4.329312068104088e-06,2.5091727152955724e-06,3.91792175979477e-07,1.011808156967163,2
128,0.02227107972241122,5.594209242316855e-07,5.272738619277232e-07,6.050795631933167e-07,4.7781693315013805e-08,3.6046295166015625,2
