N,P1,P2,P3
16,0.0103649874747629,0.0004195008560817,2.4633290548951424e-05
32,0.0025334484523433,4.8023095001719366e-05,1.310497638515353e-06
64,0.0006196639917683,5.737824737444143e-06,7.61082476571725e-08
128,0.0001528601474455,7.00922449475106e-07,4.596199849780738e-09
256,3.793871140446897e-05,8.660413998264708e-08,3.5593994765557844e-10
