nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.18856180831641295,,,,,,
32,0.09123958466923217,,,,,,
64,0.04489566864676508,,,,,,
128,0.02227107972241122,,,,,,
