N,h,P1
20,0.2863893733001397,0.00036947957552526176
40,0.1395230280180169,9.337668687594354e-05
60,0.09222708631699474,4.1012493762193255e-05
80,0.06887845686965408,2.2959418278866223e-05
100,0.05496361709800717,1.47561068680406e-05
