e,FEM_N,ADD_N,FEM_dofs,ADD_dofs,FEM_time,ADD_time
1e-3,152,12,3511808,1728,76.51430344195187,0.05198588045
1e-4,484,39,113379904,59319,2799.058040154791,0.9255318879
1e-5,1539,122,3645153819,1815848,102395.57258858246,52.64147989276548
