N,Ndofs,P1,P2,P3
16,256,0.0595023515118571,0.0019934161346718,0.0001022369628191
32,1024,0.014391254847605,0.0002274140075791,5.450939407638278e-06
64,4096,0.0035141120292708,2.711446399351986e-05,3.1751414552990385e-07
128,16394,0.000868189909925,3.3049323576553823e-06,1.930906141760648e-08
256,65536,0.0002180912861773,4.074485945348075e-07,1.2558084864427947e-09
