N,Ndofs,P1,P2,P3
16,256,0.0002285194934775,1.3057211837146412e-05,1.463079186307027e-06
32,1024,5.67341315692684e-05,1.5280991530248172e-06,7.89335808263909e-08
64,4096,1.3959008924802432e-05,1.8370398010258664e-07,4.5735027838335205e-09
128,16394,3.4551798851598903e-06,2.2449359505423097e-08,2.790302629907049e-10
256,65536,8.685842992519782e-07,2.770058984996018e-09,1.833510300917436e-11
