q,N,min_PINNs,max_PINNs,mean_PINNs,std_PINNs,min_FEM,max_FEM,mean_FEM,std_FEM
1,20.0,2.2605082348309478,50.10219055131578,17.35091906816124,11.211424961970552,7.12351628002762,82.56724347204889,35.67161353257362,17.54627870407893
2,20.0,15.026951571775026,623.1665343877596,213.1849704533939,143.67873507639027,3.54399263228871,35.87714866877256,18.32029489129597,7.9532628658303866
3,20.0,151.6651571450265,3295.5329466471394,1111.1125736692256,750.1877216594854,1.326355726618377,26.510608219652067,8.321455181037344,5.016319439120508
