N,h,P1,P2,P3
16,0.16660094771444728,5.4971502745136685e-05,1.004394080202486e-05,1.184972644842445e-06
32,0.08694977804807888,1.1108380829690068e-05,7.637502181458376e-07,1.0602145879838549e-07
64,0.04347576862597117,3.013041646993005e-06,9.300326341512173e-08,8.551980121966492e-09
128,0.021977593606715005,7.542653331103963e-07,1.2428229933523585e-08,7.449293438139754e-10
256,0.010988658015609403,1.910325250142904e-07,1.6305999083444807e-09,5.139768553054783e-11
