N,h,P1,P2,P3
16,1.67e-1,0.0441286777277977,0.0033353374074354,0.0005038437474952
32,8.70e-2,0.0013584669926844,5.323895666448633e-05,2.963230003267877e-06
64,4.35e-2,0.0002706478230396,5.520543557688925e-06,1.1707008342935984e-07
128,2.20e-2,6.995470925869527e-05,7.057594648212108e-07,7.671377394541352e-09
256,1.10e-2,1.7932326771857962e-05,9.233102637548093e-08,5.435927165543642e-10
