nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.18856180831641295,0.0030923162058617113,0.0023592099869560778,4.1646179200844465e-05,0.0005736181911078453,0.09165453910827637,3
32,0.09123958466923217,0.0006107594487936982,0.00040484476972235873,1.2812673329090262e-05,9.436672301373924e-05,0.2838759422302246,3
64,0.04489566864676508,8.059750734869347e-05,5.930335095128264e-05,3.247140293687649e-06,1.4431187168735998e-05,1.395604133605957,3
128,0.02227107972241122,1.0204319556884154e-05,7.809722261292154e-06,8.11763701003717e-07,1.8945410914688945e-06,4.370569944381714,3
