e,DoFsFEMPrev,DoFsADD,TimesFEMPrev,TimesADD
0.001,33204,13764,1.292811705494704,0.30881832062658743
0.0001,150339,70303,4.755800508153235,1.7775055452115087
1e-05,690924,339231,20.33924572932439,6.4154683957238
