nb_vert,h,err_U_1,err_U_2,err_p,err_T,times,iter
16,0.18856180831641295,0.0095640803536753,0.02243750540242539,0.00019958187001075755,0.004866674993907192,0.4377565383911133,5
32,0.09123958466923217,0.0012034834938458978,0.0025025342576214444,4.484619050273854e-05,0.0004157037196509155,0.7107999324798584,5
64,0.04489566864676508,0.0001408292670353175,0.00029906600892928706,1.0541605483114523e-05,4.605393575889561e-05,1.7535107135772705,5
128,0.02227107972241122,1.7447181447940763e-05,3.6649101031749286e-05,2.536878322023832e-06,5.56561629146621e-06,6.588457107543945,5
